"arc_length","p_element"
22.704,6.79567
22.752,6.79567
22.8,6.79567
22.848,6.79567
22.896,6.79567
22.944,6.79567
22.992,6.79567
23.04,6.79567
23.088,6.79567
23.136,6.79567
23.184,6.79567
23.232,6.79567
23.28,6.79567
23.328,6.79567
23.376,6.79567
23.424,6.79567
23.472,6.79567
23.52,6.79567
23.568,6.79567
23.616,6.79567
23.664,6.79567
23.712,6.79567
23.76,6.79567
23.808,6.79567
23.856,6.79567
23.904,6.79567
23.952,6.79567
24,6.79567
24.048,-135.467
24.096,-135.467
24.144,-135.467
24.192,-135.467
24.24,-135.467
24.288,-135.467
24.336,-135.467
24.384,-135.467
24.432,-135.467
24.48,-135.467
24.528,-135.467
24.576,-135.467
24.624,-135.467
24.672,-135.467
24.72,-135.467
24.768,-135.467
24.816,-135.467
24.864,-135.467
24.912,-135.467
24.96,-135.467
25.008,-135.467
25.056,-135.467
25.104,-135.467
25.152,-135.467
25.2,-135.467
25.248,-135.467
25.296,-135.467
25.344,-135.467
25.392,-135.467
25.44,-135.467
25.488,-135.467
25.536,-139.759
25.584,-139.759
25.632,-139.759
25.68,-139.759
25.728,-139.759
25.776,-139.759
25.824,-139.759
25.872,-139.759
25.92,-139.759
25.968,-139.759
26.016,-139.759
26.064,-139.759
26.112,-139.759
26.16,-139.759
26.208,-139.759
26.256,-139.759
26.304,-139.759
26.352,-139.759
26.4,-139.759
26.448,-139.759
26.496,-139.759
26.544,-139.759
26.592,-139.759
26.64,-139.759
26.688,-139.759
26.736,-139.759
26.784,-139.759
26.832,-139.759
26.88,-139.759
26.928,-139.759
26.976,-139.759
27.024,406.367
27.072,-77.3769
27.12,-77.3769
27.168,-77.3769
27.216,-77.3769
27.264,-77.3769
27.312,-77.3769
27.36,-77.3769
27.408,-77.3769
27.456,-77.3769
27.504,-77.3769
27.552,-77.3769
27.6,-77.3769
27.648,-77.3769
27.696,-77.3769
27.744,-77.3769
27.792,-77.3769
27.84,-77.3769
27.888,-77.3769
27.936,-77.3769
27.984,-77.3769
28.032,-77.3769
28.08,-77.3769
28.128,-77.3769
28.176,-77.3769
28.224,-77.3769
28.272,-77.3769
28.32,-77.3769
28.368,-77.3769
28.416,-77.3769
28.464,-77.3769
28.512,459.728
28.56,-214.705
28.608,-214.705
28.656,-214.705
28.704,-214.705
28.752,-214.705
28.8,-214.705
28.848,-214.705
28.896,-214.705
28.944,-214.705
28.992,-214.705
29.04,-214.705
29.088,-214.705
29.136,-214.705
29.184,-214.705
29.232,-214.705
29.28,-214.705
29.328,-214.705
29.376,-214.705
29.424,-214.705
29.472,-214.705
29.52,-214.705
29.568,-214.705
29.616,-214.705
29.664,-214.705
29.712,-214.705
29.76,-214.705
29.808,-214.705
29.856,-214.705
29.904,-214.705
29.952,-214.705
30,-214.705
30.048,-213.013
30.096,-213.013
30.144,-213.013
30.192,-213.013
30.24,-213.013
30.288,-213.013
30.336,-213.013
30.384,-213.013
30.432,-213.013
30.48,-213.013
30.528,-213.013
30.576,-213.013
30.624,-213.013
30.672,-213.013
30.72,-213.013
30.768,-213.013
30.816,-213.013
30.864,-213.013
30.912,-213.013
30.96,-213.013
31.008,-213.013
31.056,-213.013
31.104,-213.013
31.152,-213.013
31.2,-213.013
31.248,-213.013
31.296,-213.013
31.344,-213.013
31.392,-213.013
31.44,-213.013
31.488,-213.013
31.536,-146.816
31.584,-146.816
31.632,-146.816
31.68,-146.816
31.728,-146.816
31.776,-146.816
31.824,-146.816
31.872,-146.816
31.92,-146.816
31.968,-146.816
32.016,-146.816
32.064,-146.816
32.112,-146.816
32.16,-146.816
32.208,-146.816
32.256,-146.816
32.304,-146.816
32.352,-146.816
32.4,-146.816
32.448,-146.816
32.496,-146.816
32.544,-146.816
32.592,-146.816
32.64,-146.816
32.688,-146.816
32.736,-146.816
32.784,-146.816
32.832,-146.816
32.88,-146.816
32.928,-146.816
32.976,-146.816
33.024,464.141
33.072,-269.369
33.12,-269.369
33.168,-269.369
33.216,-269.369
33.264,-269.369
33.312,-269.369
33.36,-269.369
33.408,-269.369
33.456,-269.369
33.504,-269.369
33.552,-269.369
33.6,-269.369
33.648,-269.369
33.696,-269.369
33.744,-269.369
33.792,-269.369
33.84,-269.369
33.888,-269.369
33.936,-269.369
33.984,-269.369
34.032,-269.369
34.08,-269.369
34.128,-269.369
34.176,-269.369
34.224,-269.369
34.272,-269.369
34.32,-269.369
34.368,-269.369
34.416,-269.369
34.464,-269.369
34.512,557.378
34.56,-255.941
34.608,-255.941
34.656,-255.941
34.704,-255.941
34.752,-255.941
34.8,-255.941
34.848,-255.941
34.896,-255.941
34.944,-255.941
34.992,-255.941
35.04,-255.941
35.088,-255.941
35.136,-255.941
35.184,-255.941
35.232,-255.941
35.28,-255.941
35.328,-255.941
35.376,-255.941
35.424,-255.941
35.472,-255.941
35.52,-255.941
35.568,-255.941
35.616,-255.941
35.664,-255.941
35.712,-255.941
35.76,-255.941
35.808,-255.941
35.856,-255.941
35.904,-255.941
35.952,-255.941
36,-255.941
36.048,-167.083
36.096,-167.083
36.144,-167.083
36.192,-167.083
36.24,-167.083
36.288,-167.083
36.336,-167.083
36.384,-167.083
36.432,-167.083
36.48,-167.083
36.528,-167.083
36.576,-167.083
36.624,-167.083
36.672,-167.083
36.72,-167.083
36.768,-167.083
36.816,-167.083
36.864,-167.083
36.912,-167.083
36.96,-167.083
37.008,-167.083
37.056,-167.083
37.104,-167.083
37.152,-167.083
37.2,-167.083
37.248,-167.083
37.296,-167.083
37.344,-167.083
37.392,-167.083
37.44,-167.083
37.488,-167.083
37.536,365.314
37.584,-223.886
37.632,-223.886
37.68,-223.886
37.728,-223.886
37.776,-223.886
37.824,-223.886
37.872,-223.886
37.92,-223.886
37.968,-223.886
38.016,-223.886
38.064,-223.886
38.112,-223.886
38.16,-223.886
38.208,-223.886
38.256,-223.886
38.304,-223.886
38.352,-223.886
38.4,-223.886
38.448,-223.886
38.496,-223.886
38.544,-223.886
38.592,-223.886
38.64,-223.886
38.688,-223.886
38.736,-223.886
38.784,-223.886
38.832,-223.886
38.88,-223.886
38.928,-223.886
38.976,-223.886
39.024,381.552
39.072,-166.098
39.12,-166.098
39.168,-166.098
39.216,-166.098
39.264,-166.098
39.312,-166.098
39.36,-166.098
39.408,-166.098
39.456,-166.098
39.504,-166.098
39.552,-166.098
39.6,-166.098
39.648,-166.098
39.696,-166.098
39.744,-166.098
39.792,-166.098
39.84,-166.098
39.888,-166.098
39.936,-166.098
39.984,-166.098
40.032,-166.098
40.08,-166.098
40.128,-166.098
40.176,-166.098
40.224,-166.098
40.272,-166.098
40.32,-166.098
40.368,-166.098
40.416,-166.098
40.464,-166.098
40.512,187.341
40.56,-58.6308
40.608,-58.6308
40.656,-58.6308
40.704,-58.6308
40.752,-58.6308
40.8,-58.6308
40.848,-58.6308
40.896,-58.6308
40.944,-58.6308
40.992,-58.6308
41.04,-58.6308
41.088,-58.6308
41.136,-58.6308
41.184,-58.6308
41.232,-58.6308
41.28,-58.6308
41.328,-58.6308
41.376,-58.6308
41.424,-58.6308
41.472,-58.6308
41.52,-58.6308
41.568,-58.6308
41.616,-58.6308
41.664,-58.6308
41.712,-58.6308
41.76,-58.6308
41.808,-58.6308
41.856,-58.6308
41.904,-58.6308
41.952,-58.6308
42,-58.6308
42.048,126.24
42.096,-57.2342
42.144,-57.2342
42.192,-57.2342
42.24,-57.2342
42.288,-57.2342
42.336,-57.2342
